,feature,tfidf,mi_value,df_dep,df_nonDep,cpd
456,came,0.0,0.016620154418247594,6,5,0.09090909090909091
752,day,0.3136424981556462,0.07025215495375017,21,25,0.08695652173913043
1207,friend,0.0,0.02286118029882999,7,8,0.06666666666666667
1298,good,0.17673834965176036,0.04573524315822734,14,16,0.06666666666666667
1791,little,0.0,0.03662201271005714,11,13,0.08333333333333333
1838,made,0.0,0.05609412651784922,19,18,0.02702702702702703
1849,makes,0.0,0.04394778518467606,15,14,0.034482758620689655
2164,own,0.0,0.016620154418247594,6,5,0.09090909090909091
3481,you,0.0,0.09272416714996842,30,31,0.01639344262295082
3484,your,0.0,0.03180190192151476,11,10,0.047619047619047616
